concept:name,case:concept:name,time:timestamp
Insert Date Appeal to Prefecture,C13062,2001-05-20 22:00:00+00:00
Add penalty,C13062,2001-06-07 22:00:00+00:00
Payment,C13062,2002-12-08 23:00:00+00:00
Payment,C13062,2003-01-06 23:00:00+00:00
Payment,C13062,2003-02-05 23:00:00+00:00
Payment,C13062,2003-03-06 23:00:00+00:00
Payment,C13062,2003-04-06 22:00:00+00:00
Payment,C13062,2003-05-06 22:00:00+00:00
Payment,C13062,2003-06-09 22:00:00+00:00
Payment,C13062,2003-07-06 22:00:00+00:00
Payment,C13062,2003-08-06 22:00:00+00:00
Payment,C13062,2003-09-08 22:00:00+00:00
Create Fine,C13897,2002-07-17 22:00:00+00:00
Send Fine,C13897,2002-07-17 22:00:00+00:00
Insert Fine Notification,C13897,2002-07-17 22:00:00+00:00
Appeal to Judge,C13897,2002-07-18 22:00:00+00:00
Add penalty,C13897,2002-09-15 22:00:00+00:00
Insert Date Appeal to Prefecture,C13897,2002-09-15 22:00:00+00:00
Send Appeal to Prefecture,C13897,2002-09-16 22:00:00+00:00
Create Fine,C14426,2001-11-04 23:00:00+00:00
Send Fine,C14426,2001-11-15 23:00:00+00:00
Insert Fine Notification,C14426,2001-12-21 23:00:00+00:00
Insert Date Appeal to Prefecture,C14426,2001-12-26 23:00:00+00:00
Send Appeal to Prefecture,C14426,2002-01-15 23:00:00+00:00
Receive Result Appeal from Prefecture,C14426,2002-01-16 23:00:00+00:00
Add penalty,C14426,2002-02-19 23:00:00+00:00
Notify Result Appeal to Offender,C14426,2002-06-25 22:00:00+00:00
Send for Credit Collection,C14426,2004-01-09 23:00:00+00:00
Create Fine,C14976,2002-06-21 22:00:00+00:00
Send Fine,C14976,2002-06-21 22:00:00+00:00
Insert Fine Notification,C14976,2002-06-21 22:00:00+00:00
Add penalty,C14976,2002-08-20 22:00:00+00:00
Payment,C14976,2002-08-20 22:00:00+00:00
Insert Date Appeal to Prefecture,C14976,2002-08-21 22:00:00+00:00
Send Appeal to Prefecture,C14976,2002-09-09 22:00:00+00:00
Create Fine,C15958,2004-03-21 23:00:00+00:00
Send Fine,C15958,2004-03-21 23:00:00+00:00
Insert Fine Notification,C15958,2004-03-21 23:00:00+00:00
Add penalty,C15958,2004-05-20 22:00:00+00:00
Payment,C15958,2004-06-08 22:00:00+00:00
Payment,C15958,2004-07-18 22:00:00+00:00
Payment,C15958,2004-08-24 22:00:00+00:00
Payment,C15958,2004-09-20 22:00:00+00:00
Payment,C15958,2004-10-03 22:00:00+00:00
Create Fine,C16549,2003-09-25 22:00:00+00:00
Send Fine,C16549,2003-09-25 22:00:00+00:00
Insert Fine Notification,C16549,2003-09-25 22:00:00+00:00
Insert Date Appeal to Prefecture,C16549,2003-11-13 23:00:00+00:00
Add penalty,C16549,2003-11-24 23:00:00+00:00
Payment,C16549,2003-11-25 23:00:00+00:00
Send Appeal to Prefecture,C16549,2003-12-02 23:00:00+00:00
Create Fine,C16950,2003-09-16 22:00:00+00:00
Send Fine,C16950,2003-09-16 22:00:00+00:00
Insert Fine Notification,C16950,2003-09-16 22:00:00+00:00
Insert Date Appeal to Prefecture,C16950,2003-10-06 22:00:00+00:00
Send Appeal to Prefecture,C16950,2003-10-26 23:00:00+00:00
Add penalty,C16950,2003-11-15 23:00:00+00:00
Receive Result Appeal from Prefecture,C16950,2003-12-14 23:00:00+00:00
Notify Result Appeal to Offender,C16950,2004-02-19 23:00:00+00:00
Appeal to Judge,C16950,2004-02-20 23:00:00+00:00
Payment,C16950,2005-03-09 23:00:00+00:00
Payment,C16950,2005-04-11 22:00:00+00:00
Payment,C16950,2005-05-11 22:00:00+00:00
Create Fine,C17552,2005-02-01 23:00:00+00:00
Send Fine,C17552,2005-04-12 22:00:00+00:00
Insert Fine Notification,C17552,2005-04-12 22:00:00+00:00
Add penalty,C17552,2005-06-11 22:00:00+00:00
Receive Result Appeal from Prefecture,C17552,2005-10-06 22:00:00+00:00
Notify Result Appeal to Offender,C17552,2005-12-15 23:00:00+00:00
Appeal to Judge,C17552,2006-01-11 23:00:00+00:00
Create Fine,C17607,2004-11-06 23:00:00+00:00
Send Fine,C17607,2004-11-06 23:00:00+00:00
Insert Fine Notification,C17607,2004-11-06 23:00:00+00:00
Appeal to Judge,C17607,2004-11-08 23:00:00+00:00
Add penalty,C17607,2005-01-05 23:00:00+00:00
Payment,C17607,2006-03-05 23:00:00+00:00
Payment,C17607,2006-04-02 22:00:00+00:00
Payment,C17607,2006-05-08 22:00:00+00:00
Payment,C17607,2006-06-06 22:00:00+00:00
Payment,C17607,2006-07-09 22:00:00+00:00
Payment,C17607,2006-08-07 22:00:00+00:00
Payment,C17607,2006-09-19 22:00:00+00:00
Payment,C17607,2006-10-25 22:00:00+00:00
Payment,C17607,2006-12-06 23:00:00+00:00
Payment,C17607,2007-01-02 23:00:00+00:00
Payment,C17607,2007-02-20 23:00:00+00:00
Payment,C17607,2007-05-01 22:00:00+00:00
Create Fine,C17798,2005-11-15 23:00:00+00:00
Send Fine,C17798,2005-11-15 23:00:00+00:00
Insert Fine Notification,C17798,2005-11-15 23:00:00+00:00
Appeal to Judge,C17798,2005-12-21 23:00:00+00:00
Add penalty,C17798,2006-01-14 23:00:00+00:00
Payment,C17798,2007-02-20 23:00:00+00:00
Payment,C17798,2007-07-09 22:00:00+00:00
Create Fine,C18190,2005-09-08 22:00:00+00:00
Send Fine,C18190,2005-12-21 23:00:00+00:00
Insert Fine Notification,C18190,2006-01-13 23:00:00+00:00
Appeal to Judge,C18190,2006-03-12 23:00:00+00:00
Add penalty,C18190,2006-03-14 23:00:00+00:00
Payment,C18190,2006-09-04 22:00:00+00:00
Payment,C18190,2006-10-04 22:00:00+00:00
Payment,C18190,2006-11-05 23:00:00+00:00
Payment,C18190,2006-12-04 23:00:00+00:00
Payment,C18190,2007-01-08 23:00:00+00:00
Payment,C18190,2007-02-07 23:00:00+00:00
Payment,C18190,2007-03-04 23:00:00+00:00
Payment,C18190,2007-04-04 22:00:00+00:00
Payment,C18190,2007-05-06 22:00:00+00:00
Payment,C18190,2007-06-11 22:00:00+00:00
Create Fine,C18213,2005-11-20 23:00:00+00:00
Send Fine,C18213,2005-11-20 23:00:00+00:00
Insert Fine Notification,C18213,2005-11-20 23:00:00+00:00
Add penalty,C18213,2006-01-19 23:00:00+00:00
Insert Date Appeal to Prefecture,C18213,2006-12-11 23:00:00+00:00
Payment,C18213,2006-12-14 23:00:00+00:00
Payment,C18213,2007-01-18 23:00:00+00:00
Payment,C18213,2007-02-21 23:00:00+00:00
Payment,C18213,2007-03-27 22:00:00+00:00
Create Fine,C18902,2006-08-08 22:00:00+00:00
Send Fine,C18902,2006-08-08 22:00:00+00:00
Insert Fine Notification,C18902,2006-08-08 22:00:00+00:00
Insert Date Appeal to Prefecture,C18902,2006-08-21 22:00:00+00:00
Add penalty,C18902,2006-10-07 22:00:00+00:00
Send Appeal to Prefecture,C18902,2006-10-15 22:00:00+00:00
Receive Result Appeal from Prefecture,C18902,2006-11-22 23:00:00+00:00
Create Fine,C19089,2006-07-23 22:00:00+00:00
Send Fine,C19089,2006-07-23 22:00:00+00:00
Insert Fine Notification,C19089,2006-07-23 22:00:00+00:00
Add penalty,C19089,2006-09-21 22:00:00+00:00
Payment,C19089,2007-06-22 22:00:00+00:00
Payment,C19089,2007-07-26 22:00:00+00:00
Payment,C19089,2007-08-23 22:00:00+00:00
Payment,C19089,2007-09-20 22:00:00+00:00
Payment,C19089,2007-10-26 22:00:00+00:00
Payment,C19089,2008-01-24 23:00:00+00:00
Payment,C19089,2008-08-03 22:00:00+00:00
Payment,C19089,2008-10-13 22:00:00+00:00
Create Fine,C19108,2006-09-15 22:00:00+00:00
Send Fine,C19108,2006-10-04 22:00:00+00:00
Insert Fine Notification,C19108,2006-10-04 22:00:00+00:00
Appeal to Judge,C19108,2006-10-09 22:00:00+00:00
Add penalty,C19108,2006-12-03 23:00:00+00:00
Payment,C19108,2007-06-04 22:00:00+00:00
Payment,C19108,2007-07-08 22:00:00+00:00
Payment,C19108,2007-08-08 22:00:00+00:00
Payment,C19108,2007-09-12 22:00:00+00:00
Payment,C19108,2007-10-05 22:00:00+00:00
Payment,C19108,2007-11-14 23:00:00+00:00
Payment,C19108,2008-01-08 23:00:00+00:00
Payment,C19108,2008-02-08 23:00:00+00:00
Payment,C19108,2008-03-12 23:00:00+00:00
Payment,C19108,2008-06-25 22:00:00+00:00
Payment,C19108,2008-08-25 22:00:00+00:00
Create Fine,C19128,2006-09-05 22:00:00+00:00
Send Fine,C19128,2006-09-05 22:00:00+00:00
Insert Fine Notification,C19128,2006-09-05 22:00:00+00:00
Insert Date Appeal to Prefecture,C19128,2006-09-10 22:00:00+00:00
Send Appeal to Prefecture,C19128,2006-10-15 22:00:00+00:00
Add penalty,C19128,2006-11-04 23:00:00+00:00
Receive Result Appeal from Prefecture,C19128,2006-11-22 23:00:00+00:00
Create Fine,C20123,2010-01-08 23:00:00+00:00
Send Fine,C20123,2010-01-08 23:00:00+00:00
Insert Fine Notification,C20123,2010-01-08 23:00:00+00:00
Add penalty,C20123,2010-03-09 23:00:00+00:00
Appeal to Judge,C20123,2010-03-09 23:00:00+00:00
Receive Result Appeal from Prefecture,C20123,2011-07-25 22:00:00+00:00
Create Fine,C20817,2009-06-28 22:00:00+00:00
Send Fine,C20817,2009-06-28 22:00:00+00:00
Insert Fine Notification,C20817,2009-06-28 22:00:00+00:00
Appeal to Judge,C20817,2009-07-08 22:00:00+00:00
Add penalty,C20817,2009-08-27 22:00:00+00:00
Payment,C20817,2010-02-23 23:00:00+00:00
Payment,C20817,2010-03-21 23:00:00+00:00
Payment,C20817,2010-04-15 22:00:00+00:00
Payment,C20817,2010-05-16 22:00:00+00:00
Payment,C20817,2010-06-20 22:00:00+00:00
Payment,C20817,2010-07-18 22:00:00+00:00
Payment,C20817,2010-08-12 22:00:00+00:00
Payment,C20817,2010-09-15 22:00:00+00:00
Payment,C20817,2010-10-01 22:00:00+00:00
Payment,C20817,2010-10-29 22:00:00+00:00
Payment,C20817,2010-12-02 23:00:00+00:00
Payment,C20817,2011-01-12 23:00:00+00:00
Payment,C20817,2011-01-30 23:00:00+00:00
Payment,C20817,2011-03-15 23:00:00+00:00
Payment,C20817,2011-04-08 22:00:00+00:00
Create Fine,C20986,2010-06-25 22:00:00+00:00
Send Fine,C20986,2010-09-08 22:00:00+00:00
Insert Fine Notification,C20986,2010-09-30 22:00:00+00:00
Add penalty,C20986,2010-11-29 23:00:00+00:00
Payment,C20986,2011-01-19 23:00:00+00:00
Payment,C20986,2011-02-27 23:00:00+00:00
Send for Credit Collection,C20986,2012-03-25 22:00:00+00:00
Create Fine,C21036,2009-09-12 22:00:00+00:00
Appeal to Judge,C21036,2009-10-07 22:00:00+00:00
Send Fine,C21036,2010-03-03 23:00:00+00:00
Payment,C21036,2010-10-22 22:00:00+00:00
Create Fine,C21050,2009-08-02 22:00:00+00:00
Send Fine,C21050,2009-08-02 22:00:00+00:00
Insert Fine Notification,C21050,2009-08-02 22:00:00+00:00
Add penalty,C21050,2009-10-01 22:00:00+00:00
Payment,C21050,2011-10-03 22:00:00+00:00
Payment,C21050,2011-11-07 23:00:00+00:00
Payment,C21050,2011-12-08 23:00:00+00:00
Payment,C21050,2012-01-09 23:00:00+00:00
Create Fine,C21281,2009-12-11 23:00:00+00:00
Send Fine,C21281,2009-12-11 23:00:00+00:00
Insert Fine Notification,C21281,2009-12-11 23:00:00+00:00
Add penalty,C21281,2010-02-09 23:00:00+00:00
Payment,C21281,2011-08-31 22:00:00+00:00
Payment,C21281,2011-10-03 22:00:00+00:00
Payment,C21281,2011-11-01 23:00:00+00:00
Payment,C21281,2011-12-05 23:00:00+00:00
Payment,C21281,2012-01-02 23:00:00+00:00
Payment,C21281,2012-01-31 23:00:00+00:00
Create Fine,C22750,2011-10-12 22:00:00+00:00
Send Fine,C22750,2011-10-12 22:00:00+00:00
Insert Fine Notification,C22750,2011-10-13 22:00:00+00:00
Add penalty,C22750,2011-12-12 23:00:00+00:00
Payment,C22750,2012-01-18 23:00:00+00:00
Payment,C22750,2012-02-19 23:00:00+00:00
Payment,C22750,2012-03-20 23:00:00+00:00
Payment,C22750,2012-04-23 22:00:00+00:00
Payment,C22750,2012-05-21 22:00:00+00:00
Payment,C22750,2012-06-27 22:00:00+00:00
Payment,C22750,2012-07-26 22:00:00+00:00
Create Fine,C22811,2011-12-13 23:00:00+00:00
Send Fine,C22811,2011-12-13 23:00:00+00:00
Insert Fine Notification,C22811,2011-12-13 23:00:00+00:00
Payment,C22811,2012-01-23 23:00:00+00:00
Add penalty,C22811,2012-02-11 23:00:00+00:00
Payment,C22811,2012-02-21 23:00:00+00:00
Payment,C22811,2012-03-08 23:00:00+00:00
Payment,C22811,2012-04-25 22:00:00+00:00
Payment,C22811,2012-05-24 22:00:00+00:00
Payment,C22811,2012-06-21 22:00:00+00:00
Payment,C22811,2012-07-30 22:00:00+00:00
Create Fine,C22966,2012-07-15 22:00:00+00:00
Send Fine,C22966,2012-10-04 22:00:00+00:00
Insert Date Appeal to Prefecture,C22966,2012-12-04 23:00:00+00:00
Payment,C22966,2012-12-09 23:00:00+00:00
Send Appeal to Prefecture,C22966,2013-01-21 23:00:00+00:00
Create Fine,C23364,2012-11-02 23:00:00+00:00
Send Fine,C23364,2012-11-02 23:00:00+00:00
Insert Fine Notification,C23364,2012-11-02 23:00:00+00:00
Payment,C23364,2012-12-02 23:00:00+00:00
Add penalty,C23364,2013-01-01 23:00:00+00:00
Payment,C23364,2013-01-07 23:00:00+00:00
Payment,C23364,2013-02-06 23:00:00+00:00
Payment,C23364,2013-02-17 23:00:00+00:00
Payment,C23364,2013-02-18 23:00:00+00:00
Create Fine,L2393,2012-12-06 23:00:00+00:00
Send Fine,L2393,2012-12-06 23:00:00+00:00
Insert Fine Notification,L2393,2012-12-16 23:00:00+00:00
Payment,L2393,2013-01-20 23:00:00+00:00
Add penalty,L2393,2013-02-14 23:00:00+00:00
Payment,L2393,2013-02-27 23:00:00+00:00
Payment,L2393,2013-03-21 23:00:00+00:00
Payment,L2393,2013-04-16 22:00:00+00:00
Create Fine,N100056,2006-06-19 22:00:00+00:00
Send Fine,N100056,2006-11-02 23:00:00+00:00
Insert Fine Notification,N100056,2006-12-02 23:00:00+00:00
Add penalty,N100056,2007-01-31 23:00:00+00:00
Receive Result Appeal from Prefecture,N100056,2007-04-10 22:00:00+00:00
Notify Result Appeal to Offender,N100056,2007-04-18 22:00:00+00:00
Send for Credit Collection,N100056,2009-03-29 22:00:00+00:00
Create Fine,N100576,2006-06-28 22:00:00+00:00
Send Fine,N100576,2006-11-15 23:00:00+00:00
Insert Fine Notification,N100576,2006-11-27 23:00:00+00:00
Add penalty,N100576,2007-01-26 23:00:00+00:00
Insert Date Appeal to Prefecture,N100576,2007-03-06 23:00:00+00:00
Receive Result Appeal from Prefecture,N100576,2007-09-30 22:00:00+00:00
Notify Result Appeal to Offender,N100576,2007-10-08 22:00:00+00:00
Appeal to Judge,N100576,2007-10-17 22:00:00+00:00
Create Fine,N100627,2006-06-29 22:00:00+00:00
Send Fine,N100627,2006-11-15 23:00:00+00:00
Insert Fine Notification,N100627,2006-11-27 23:00:00+00:00
Add penalty,N100627,2007-01-26 23:00:00+00:00
Insert Date Appeal to Prefecture,N100627,2007-02-08 23:00:00+00:00
Receive Result Appeal from Prefecture,N100627,2007-07-11 22:00:00+00:00
Notify Result Appeal to Offender,N100627,2007-07-18 22:00:00+00:00
Appeal to Judge,N100627,2007-09-06 22:00:00+00:00
Send Appeal to Prefecture,N100627,2011-12-24 23:00:00+00:00
Create Fine,N101006,2006-06-29 22:00:00+00:00
Send Fine,N101006,2006-11-15 23:00:00+00:00
Insert Fine Notification,N101006,2006-11-27 23:00:00+00:00
Insert Date Appeal to Prefecture,N101006,2007-01-02 23:00:00+00:00
Add penalty,N101006,2007-01-26 23:00:00+00:00
Receive Result Appeal from Prefecture,N101006,2007-03-29 22:00:00+00:00
Send Appeal to Prefecture,N101006,2011-12-24 23:00:00+00:00
Create Fine,N102208,2006-07-26 22:00:00+00:00
Send Fine,N102208,2006-12-11 23:00:00+00:00
Insert Fine Notification,N102208,2007-01-03 23:00:00+00:00
Insert Date Appeal to Prefecture,N102208,2007-02-12 23:00:00+00:00
Add penalty,N102208,2007-03-04 23:00:00+00:00
Receive Result Appeal from Prefecture,N102208,2007-06-27 22:00:00+00:00
Payment,N102208,2007-07-12 22:00:00+00:00
Create Fine,N102972,2006-07-31 22:00:00+00:00
Payment,N102972,2006-08-01 22:00:00+00:00
Send Fine,N102972,2006-12-11 23:00:00+00:00
Insert Fine Notification,N102972,2006-12-19 23:00:00+00:00
Add penalty,N102972,2007-02-17 23:00:00+00:00
Payment,N102972,2008-10-15 22:00:00+00:00
Send for Credit Collection,N102972,2009-03-29 22:00:00+00:00
Create Fine,N22574,2000-01-30 23:00:00+00:00
Send Fine,N22574,2000-03-22 23:00:00+00:00
Payment,N22574,2000-04-20 22:00:00+00:00
Insert Fine Notification,N22574,2000-04-26 22:00:00+00:00
Add penalty,N22574,2000-06-25 22:00:00+00:00
Payment,N22574,2000-09-24 22:00:00+00:00
Create Fine,N25594,2000-05-29 22:00:00+00:00
Send Fine,N25594,2000-07-19 22:00:00+00:00
Insert Fine Notification,N25594,2000-08-02 22:00:00+00:00
Insert Date Appeal to Prefecture,N25594,2000-08-08 22:00:00+00:00
Send Appeal to Prefecture,N25594,2000-08-17 22:00:00+00:00
Add penalty,N25594,2000-10-01 22:00:00+00:00
Receive Result Appeal from Prefecture,N25594,2000-11-20 23:00:00+00:00
Notify Result Appeal to Offender,N25594,2000-11-23 23:00:00+00:00
Create Fine,N26309,2000-07-02 22:00:00+00:00
Send Fine,N26309,2000-08-25 22:00:00+00:00
Insert Fine Notification,N26309,2000-09-13 22:00:00+00:00
Payment,N26309,2000-11-08 23:00:00+00:00
Add penalty,N26309,2000-11-12 23:00:00+00:00
Payment,N26309,2001-01-25 23:00:00+00:00
Send for Credit Collection,N26309,2002-04-09 22:00:00+00:00
Create Fine,N27915,2000-09-19 22:00:00+00:00
Payment,N27915,2000-10-17 22:00:00+00:00
Send Fine,N27915,2000-10-29 23:00:00+00:00
Insert Fine Notification,N27915,2000-11-17 23:00:00+00:00
Payment,N27915,2000-12-01 23:00:00+00:00
Add penalty,N27915,2001-01-16 23:00:00+00:00
Payment,N27915,2001-01-24 23:00:00+00:00
Create Fine,N29373,2000-08-31 22:00:00+00:00
Send Fine,N29373,2000-10-29 23:00:00+00:00
Payment,N29373,2000-10-30 23:00:00+00:00
Insert Fine Notification,N29373,2000-11-19 23:00:00+00:00
Payment,N29373,2001-01-04 23:00:00+00:00
Add penalty,N29373,2001-01-18 23:00:00+00:00
Payment,N29373,2001-01-31 23:00:00+00:00
Create Fine,N35881,2001-08-12 22:00:00+00:00
Send Fine,N35881,2001-11-08 23:00:00+00:00
Insert Fine Notification,N35881,2001-12-09 23:00:00+00:00
Insert Date Appeal to Prefecture,N35881,2002-01-07 23:00:00+00:00
Send Appeal to Prefecture,N35881,2002-02-03 23:00:00+00:00
Receive Result Appeal from Prefecture,N35881,2002-02-05 23:00:00+00:00
Add penalty,N35881,2002-02-07 23:00:00+00:00
Notify Result Appeal to Offender,N35881,2002-04-29 22:00:00+00:00
Payment,N35881,2002-05-08 22:00:00+00:00
Send for Credit Collection,N35881,2004-01-09 23:00:00+00:00
Create Fine,N36533,2001-08-14 22:00:00+00:00
Send Fine,N36533,2001-11-08 23:00:00+00:00
Insert Fine Notification,N36533,2001-12-06 23:00:00+00:00
Add penalty,N36533,2002-02-04 23:00:00+00:00
Insert Date Appeal to Prefecture,N36533,2002-02-13 23:00:00+00:00
Send Appeal to Prefecture,N36533,2002-03-06 23:00:00+00:00
Payment,N36533,2002-10-17 22:00:00+00:00
Create Fine,N36911,2001-09-23 22:00:00+00:00
Send Fine,N36911,2001-11-15 23:00:00+00:00
Insert Fine Notification,N36911,2001-12-26 23:00:00+00:00
Insert Date Appeal to Prefecture,N36911,2002-01-02 23:00:00+00:00
Receive Result Appeal from Prefecture,N36911,2002-01-30 23:00:00+00:00
Send Appeal to Prefecture,N36911,2002-02-03 23:00:00+00:00
Add penalty,N36911,2002-02-24 23:00:00+00:00
Notify Result Appeal to Offender,N36911,2002-09-06 22:00:00+00:00
Send for Credit Collection,N36911,2004-01-09 23:00:00+00:00
Create Fine,N37813,2001-10-07 22:00:00+00:00
Send Fine,N37813,2001-11-23 23:00:00+00:00
Insert Fine Notification,N37813,2001-12-02 23:00:00+00:00
Add penalty,N37813,2002-01-31 23:00:00+00:00
Insert Date Appeal to Prefecture,N37813,2002-02-11 23:00:00+00:00
Receive Result Appeal from Prefecture,N37813,2002-03-06 23:00:00+00:00
Send Appeal to Prefecture,N37813,2002-03-06 23:00:00+00:00
Notify Result Appeal to Offender,N37813,2002-09-05 22:00:00+00:00
Payment,N37813,2002-11-05 23:00:00+00:00
Create Fine,N38561,2001-12-12 23:00:00+00:00
Send Fine,N38561,2001-12-21 23:00:00+00:00
Insert Fine Notification,N38561,2002-01-02 23:00:00+00:00
Payment,N38561,2002-01-16 23:00:00+00:00
Add penalty,N38561,2002-03-03 23:00:00+00:00
Payment,N38561,2002-04-09 22:00:00+00:00
Payment,N38561,2002-06-07 22:00:00+00:00
Create Fine,N38713,2001-11-16 23:00:00+00:00
Send Fine,N38713,2001-12-10 23:00:00+00:00
Insert Fine Notification,N38713,2001-12-21 23:00:00+00:00
Appeal to Judge,N38713,2001-12-22 23:00:00+00:00
Insert Date Appeal to Prefecture,N38713,2002-01-06 23:00:00+00:00
Add penalty,N38713,2002-02-19 23:00:00+00:00
Payment,N38713,2002-08-21 22:00:00+00:00
Create Fine,N38946,2002-01-22 23:00:00+00:00
Send Fine,N38946,2002-04-26 22:00:00+00:00
Insert Fine Notification,N38946,2002-05-07 22:00:00+00:00
Insert Date Appeal to Prefecture,N38946,2002-06-09 22:00:00+00:00
Send Appeal to Prefecture,N38946,2002-07-03 22:00:00+00:00
Add penalty,N38946,2002-07-06 22:00:00+00:00
Payment,N38946,2002-09-24 22:00:00+00:00
Payment,N38946,2002-10-24 22:00:00+00:00
Create Fine,N39144,2002-01-03 23:00:00+00:00
Send Fine,N39144,2002-04-26 22:00:00+00:00
Insert Fine Notification,N39144,2002-05-02 22:00:00+00:00
Insert Date Appeal to Prefecture,N39144,2002-05-26 22:00:00+00:00
Receive Result Appeal from Prefecture,N39144,2002-06-10 22:00:00+00:00
Send Appeal to Prefecture,N39144,2002-06-10 22:00:00+00:00
Add penalty,N39144,2002-07-01 22:00:00+00:00
Notify Result Appeal to Offender,N39144,2002-10-23 22:00:00+00:00
Payment,N39144,2002-11-03 23:00:00+00:00
Create Fine,N40086,2002-03-22 23:00:00+00:00
Send Fine,N40086,2002-06-09 22:00:00+00:00
Insert Date Appeal to Prefecture,N40086,2002-07-10 22:00:00+00:00
Send Appeal to Prefecture,N40086,2002-07-30 22:00:00+00:00
Payment,N40086,2002-08-08 22:00:00+00:00
Create Fine,N40397,2003-03-12 23:00:00+00:00
Send Fine,N40397,2003-05-19 22:00:00+00:00
Insert Fine Notification,N40397,2003-05-26 22:00:00+00:00
Add penalty,N40397,2003-07-25 22:00:00+00:00
Insert Date Appeal to Prefecture,N40397,2004-05-30 22:00:00+00:00
Send Appeal to Prefecture,N40397,2004-05-30 22:00:00+00:00
Receive Result Appeal from Prefecture,N40397,2004-06-29 22:00:00+00:00
Notify Result Appeal to Offender,N40397,2004-07-01 22:00:00+00:00
Appeal to Judge,N40397,2004-07-26 22:00:00+00:00
Payment,N40397,2005-12-19 23:00:00+00:00
Create Fine,N40847,2002-09-29 22:00:00+00:00
Send Fine,N40847,2002-12-04 23:00:00+00:00
Insert Fine Notification,N40847,2002-12-09 23:00:00+00:00
Add penalty,N40847,2003-02-07 23:00:00+00:00
Insert Date Appeal to Prefecture,N40847,2003-03-16 23:00:00+00:00
Send Appeal to Prefecture,N40847,2003-03-25 23:00:00+00:00
Receive Result Appeal from Prefecture,N40847,2003-05-04 22:00:00+00:00
Notify Result Appeal to Offender,N40847,2003-06-22 22:00:00+00:00
Payment,N40847,2003-09-07 22:00:00+00:00
Payment,N40847,2003-10-27 23:00:00+00:00
Create Fine,N41192,2002-10-01 22:00:00+00:00
Send Fine,N41192,2003-01-14 23:00:00+00:00
Insert Date Appeal to Prefecture,N41192,2003-01-30 23:00:00+00:00
Insert Fine Notification,N41192,2003-02-02 23:00:00+00:00
Send Appeal to Prefecture,N41192,2003-02-27 23:00:00+00:00
Receive Result Appeal from Prefecture,N41192,2003-03-27 23:00:00+00:00
Add penalty,N41192,2003-04-03 22:00:00+00:00
Notify Result Appeal to Offender,N41192,2003-07-22 22:00:00+00:00
Send for Credit Collection,N41192,2004-12-24 23:00:00+00:00
Create Fine,N41256,2002-02-27 23:00:00+00:00
Send Fine,N41256,2002-04-26 22:00:00+00:00
Insert Fine Notification,N41256,2002-05-02 22:00:00+00:00
Insert Date Appeal to Prefecture,N41256,2002-06-23 22:00:00+00:00
Add penalty,N41256,2002-07-01 22:00:00+00:00
Receive Result Appeal from Prefecture,N41256,2002-07-09 22:00:00+00:00
Send Appeal to Prefecture,N41256,2002-07-09 22:00:00+00:00
Notify Result Appeal to Offender,N41256,2002-10-23 22:00:00+00:00
Send for Credit Collection,N41256,2006-02-27 23:00:00+00:00
Create Fine,N41357,2002-03-24 23:00:00+00:00
Send Fine,N41357,2002-04-26 22:00:00+00:00
Insert Fine Notification,N41357,2002-05-03 22:00:00+00:00
Appeal to Judge,N41357,2002-05-04 22:00:00+00:00
Insert Date Appeal to Prefecture,N41357,2002-05-04 22:00:00+00:00
Send Appeal to Prefecture,N41357,2002-05-05 22:00:00+00:00
Add penalty,N41357,2002-07-02 22:00:00+00:00
Payment,N41357,2003-04-02 22:00:00+00:00
Create Fine,N41527,2002-02-22 23:00:00+00:00
Send Fine,N41527,2002-04-26 22:00:00+00:00
Insert Date Appeal to Prefecture,N41527,2002-05-05 22:00:00+00:00
Insert Fine Notification,N41527,2002-05-05 22:00:00+00:00
Send Appeal to Prefecture,N41527,2002-05-22 22:00:00+00:00
Add penalty,N41527,2002-07-04 22:00:00+00:00
Receive Result Appeal from Prefecture,N41527,2002-07-09 22:00:00+00:00
Notify Result Appeal to Offender,N41527,2002-10-24 22:00:00+00:00
Send for Credit Collection,N41527,2004-12-24 23:00:00+00:00
Create Fine,N42068,2002-05-13 22:00:00+00:00
Send Fine,N42068,2002-07-28 22:00:00+00:00
Insert Fine Notification,N42068,2002-08-04 22:00:00+00:00
Insert Date Appeal to Prefecture,N42068,2002-08-05 22:00:00+00:00
Send Appeal to Prefecture,N42068,2002-08-29 22:00:00+00:00
Add penalty,N42068,2002-10-03 22:00:00+00:00
Receive Result Appeal from Prefecture,N42068,2002-10-14 22:00:00+00:00
Notify Result Appeal to Offender,N42068,2003-03-05 23:00:00+00:00
Payment,N42068,2003-04-01 22:00:00+00:00
Payment,N42068,2003-09-22 22:00:00+00:00
Create Fine,N42612,2002-06-07 22:00:00+00:00
Send Fine,N42612,2002-07-28 22:00:00+00:00
Insert Fine Notification,N42612,2002-08-18 22:00:00+00:00
Insert Date Appeal to Prefecture,N42612,2002-09-18 22:00:00+00:00
Send Appeal to Prefecture,N42612,2002-10-13 22:00:00+00:00
Add penalty,N42612,2002-10-17 22:00:00+00:00
Receive Result Appeal from Prefecture,N42612,2002-12-13 23:00:00+00:00
Payment,N42612,2003-03-28 23:00:00+00:00
Create Fine,N43645,2002-08-10 22:00:00+00:00
Send Fine,N43645,2002-09-11 22:00:00+00:00
Insert Date Appeal to Prefecture,N43645,2002-09-17 22:00:00+00:00
